ID,Severidad,Componente,Titulo,Descripcion,Test_que_fallo,Estado,Solucion_propuesta,Esfuerzo_horas,ROI_reduccion_tiempo,Probabilidad_deteccion_manual
INC-001,HIGH,Security,XSS Vulnerability en campo comentarios,El campo de comentarios no sanitiza correctamente payloads XSS. Se puede ejecutar JavaScript arbitrario,TC-011,Open,Implementar DOMPurify library + server-side sanitization,2,120 horas,5%
INC-002,MEDIUM,Performance,Email lento en confirmacion,La confirmacion de email tarda 4.1 segundos en llegar,TC-014,Open,Optimizar queue de emails + implementar async processing,4,30 horas,15%
INC-003,LOW,UI,Mensaje de error poco claro,El mensaje cuando falla login no especifica si es usuario o contrasena,TC-002,Open,Mejorar mensajes de validacion,1,5 horas,25%
INC-004,CRITICAL,Database,Posible race condition en carrito,Cuando dos usuarios modifican carrito simultaneamente hay inconsistencia,TC-004,Pending,Implementar pessimistic locking en DB,8,200 horas,3%
INC-005,HIGH,API,Rate limiting no funciona correctamente,API acepta mas de 100 requests/minuto por usuario,API-001,Open,Implementar rate limiting middleware,3,50 horas,10%
INC-006,MEDIUM,UI,Accesibilidad mejorable,Color contraste en algunos botones es 3.8:1 en lugar de 4.5:1 WCAG AAA,TC-009,Open,Ajustar paleta de colores para WCAG AAA,2,15 horas,20%
INC-007,LOW,Documentation,Documentacion de API incompleta,Faltan ejemplos en 3 endpoints,API-005,Open,Completar documentacion de API,1.5,10 horas,30%
INC-008,CRITICAL,Security,CSRF token expira muy rapido,Token CSRF expira cada 5 minutos causando false positives,TC-012,Pending,Aumentar duracion a 30 minutos con refresh,2,100 horas,5%
INC-009,MEDIUM,Performance,Query SQL lenta en lista productos,Query sin index tarda 800ms,API-001,Open,Crear indice en tabla products (name),0.5,25 horas,8%
INC-010,HIGH,Security,Cookies sin SameSite attribute,Cookies de sesion no tienen SameSite=Strict,TC-001,Open,Configurar SameSite=Strict en session cookies,1,75 horas,4%